
Host: AS-Laptop

Timers On : Sun Nov 12 11:05:16 2023
Timers Off: Sun Nov 12 11:07:19 2023

Wall Time:      123.33 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
HF: Form core H                     :      0.000u      0.000s      1.110w     80 calls
HF: Form S/X                        :      0.000u      0.000s      0.046w     80 calls
HF: Guess                           :      0.000u      0.000s      7.144w     80 calls
SAD Guess                           :      0.000u      0.000s      7.013w     80 calls
HF: Form G                          :      0.000u      0.000s      0.298w    703 calls
JK: D                               :      0.000u      0.000s      0.011w    703 calls
JK: USO2AO                          :      0.000u      0.000s      0.030w    703 calls
JK: JK                              :      0.000u      0.000s      0.211w    703 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.206w    703 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    703 calls
DFH: compute_J                      :      0.000u      0.000s      0.062w    703 calls
DFH: compute_K                      :      0.000u      0.000s      0.120w    703 calls
JK: AO2USO                          :      0.000u      0.000s      0.021w    703 calls
HF: Form F                          :      0.000u      0.000s      0.014w    703 calls
HF: Form D                          :      0.000u      0.000s      0.009w    703 calls
HF: DIIS                            :      0.000u      0.000s      6.146w    623 calls
HF: Form C                          :      0.000u      0.000s      0.640w    623 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.000u      0.000s      0.636w     80 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.429w     80 calls
DFH: initialize()                   :      0.000u      0.000s      3.654w     80 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.349w    160 calls
| DFH: AO Construction              :      0.000u      0.000s      0.458w     80 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.102w     80 calls
HF: Form core H                     :      0.000u      0.000s      1.110w     80 calls
HF: Form S/X                        :      0.000u      0.000s      0.046w     80 calls
HF: Guess                           :      0.000u      0.000s      7.144w     80 calls
| SAD Guess                         :      0.000u      0.000s      7.013w     80 calls
HF: Form G                          :      0.000u      0.000s      0.298w    703 calls
| JK: D                             :      0.000u      0.000s      0.011w    703 calls
| JK: USO2AO                        :      0.000u      0.000s      0.030w    703 calls
| JK: JK                            :      0.000u      0.000s      0.211w    703 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.206w    703 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    703 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.062w    703 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.120w    703 calls
| JK: AO2USO                        :      0.000u      0.000s      0.021w    703 calls
HF: Form F                          :      0.000u      0.000s      0.014w    703 calls
HF: Form D                          :      0.000u      0.000s      0.009w    703 calls
HF: DIIS                            :      0.000u      0.000s      6.146w    623 calls
HF: Form C                          :      0.000u      0.000s      0.640w    623 calls

**************************************************************************************

Host: AS-Laptop

Timers On : Sun Nov 12 11:57:29 2023
Timers Off: Sun Nov 12 11:58:39 2023

Wall Time:       69.92 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: AS-Laptop

Timers On : Sun Nov 12 11:57:29 2023
Timers Off: Sun Nov 12 11:58:39 2023

Wall Time:       69.93 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: AS-Laptop

Timers On : Sun Nov 12 11:57:29 2023
Timers Off: Sun Nov 12 11:58:39 2023

Wall Time:       69.95 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: AS-Laptop

Timers On : Sun Nov 12 11:57:31 2023
Timers Off: Sun Nov 12 11:58:39 2023

Wall Time:       67.99 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.000u      0.000s      0.645w     80 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.781w    240 calls
DFH: initialize()                   :      0.000u      0.000s      3.658w     80 calls
DFH: AO Construction                :      0.000u      0.000s      0.452w     80 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.095w     80 calls
HF: Form core H                     :      0.000u      0.000s      0.753w     80 calls
HF: Form S/X                        :      0.000u      0.000s      0.036w     80 calls
HF: Guess                           :      0.000u      0.000s      6.554w     80 calls
SAD Guess                           :      0.000u      0.000s      6.414w     80 calls
